證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"4426","利勤","101334","1701814","17.00","17.00","16.65","16.85","-0.2500","124"
"4438","廣越","81809","9269484","115.00","115.00","112.00","113.00","-2.0000","99"
"4439","冠星-KY","17212","1834067","107.00","107.00","106.00","106.00","-1.0000","36"
"4440","宜新實業","185608","4675171","25.40","25.55","25.10","25.10","0.1500","112"
"4526","東台","2349370","54219129","23.60","23.60","22.75","23.05","-0.5000","1403"
"4532","瑞智","3035080","85624007","28.25","28.80","27.95","28.25","-0.2500","2020"
"4536","拓凱","322164","65163280","207.50","208.00","200.50","201.50","-6.0000","3238"
"4540","全球傳動","457741","16043984","36.15","36.50","34.00","34.45","-1.7000","392"
"4545","銘鈺","3669093","164935397","44.65","45.45","43.20","45.45","4.1000","2315"
"4551","智伸科","329003","37449655","110.50","115.00","110.50","114.50","4.5000","304"
"4552","力達-KY","290703","8246046","28.65","28.65","28.10","28.35","-0.3500","198"
"4555","氣立","54534","3408893","64.90","65.00","61.00","62.00","-2.5000","132"
"4557","永新-KY","154372","18415520","120.50","121.00","118.00","119.00","-2.0000","141"
"4560","強信-KY","71202","2635800","37.20","37.20","36.75","36.85","-0.3500","75"
"4562","穎漢","4759573","172520241","39.00","39.00","35.30","35.30","-3.9000","3351"
